id,cap_numero,cap_nombre,subcap_numero,subcap_nombre,articulo_numero,parrafo_numero,parrafo_texto
006-4,1,Principios y disposiciones generales,1,Principios y disposiciones generales,6,4,"4. Los poderes y órganos del Estado adoptarán las medidas necesarias paraadecuar e impulsar la legislación, las instituciones, los marcos normativos yla prestación de servicios, con el fin de alcanzar la igualdad de género y laparidad. Deberán incorporar transversalmente el enfoque de género en sudiseño institucional, de política fiscal y presupuestaria y en el ejercicio desus funciones."
007-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,7,4,"Chile está conformado por entidades territoriales autónomas y territoriosespeciales, en un marco de equidad y solidaridad, preservando la unidad eintegridad del Estado. El Estado promoverá la cooperación, la integraciónarmónica y el desarrollo adecuado y justo entre las diversas entidadesterritoriales."
008-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,8,2,"Las personas y los pueblos son interdependientes con la naturaleza y formancon ella un conjunto inseparable. El Estado reconoce y promueve el buen vivircomo una relación de equilibrio armónico entre las personas, la naturaleza yla organización de la sociedad."
009-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,9,2,"El Estado es laico. En Chile se respeta y garantiza la libertad de religión y decreencias espirituales. Ninguna religión ni creencia es la oficial, sin perjuiciode su reconocimiento y libre ejercicio, el cual no tiene más limitación que lodispuesto por esta Constitución y la ley."
010-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,10,4,"El Estado reconoce y protege a las familias en sus diversas formas,expresiones y modos de vida, sin restringirlas a vínculos exclusivamentefiliativos o consanguíneos, y les garantiza una vida digna."
011-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,11,3,"El Estado reconoce y promueve el diálogo intercultural, horizontal ytransversal entre las diversas cosmovisiones de los pueblos y naciones queconviven en el país, con dignidad y respeto recíprocos. El ejercicio de lasfunciones públicas debe garantizar los mecanismos institucionales y lapromoción de políticas públicas que favorezcan el reconocimiento y lacomprensión de la diversidad étnica y cultural, superando las asimetríasexistentes en el acceso, la distribución y el ejercicio del poder, así como entodos los ámbitos de la vida en sociedad."
012-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,12,1,"1. El Estado es plurilingüe. Su idioma oficial es el castellano. Los idiomasindígenas son oficiales en sus territorios y en zonas de alta densidadpoblacional de cada pueblo y nación indígena. El Estado promueve suconocimiento, revitalización, valoración y respeto."
012-2,1,Principios y disposiciones generales,1,Principios y disposiciones generales,12,2,"2. Se reconoce la lengua de señas chilena como lengua natural y oficial de laspersonas sordas, así como sus derechos lingüísticos en todos los ámbitos dela vida social."
013-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,13,1,"1. Son emblemas nacionales de Chile la bandera, el escudo y el himno nacional."
013-2,1,Principios y disposiciones generales,1,Principios y disposiciones generales,13,2,2. El Estado reconoce los símbolos y emblemas de los pueblos y nacionesindígenas.
014-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,14,1,"1. Las relaciones internacionales de Chile, como expresión de su soberanía, sefundan en el respeto al derecho internacional y a los principios deautodeterminación de los pueblos, no intervención en asuntos que son de lajurisdicción interna de los Estados, multilateralismo, solidaridad,cooperación, autonomía política e igualdad jurídica entre los Estados."
014-2,1,Principios y disposiciones generales,1,Principios y disposiciones generales,14,2,"2. De igual forma, se compromete con la promoción y el respeto de lademocracia, el reconocimiento y protección de los derechos humanos, lainclusión, la igualdad de género, la justicia social, el respeto a la naturaleza, lapaz, la convivencia y la solución pacífica de los conflictos y con elreconocimiento, el respeto y la promoción de los derechos de los pueblos ynaciones indígenas y tribales conforme al derecho internacional de losderechos humanos."
014-3,1,Principios y disposiciones generales,1,Principios y disposiciones generales,14,3,"3. Chile declara a América Latina y el Caribe como zona prioritaria en susrelaciones internacionales. Se compromete con el mantenimiento de laregión como una zona de paz y libre de violencia; impulsa la integraciónregional, política, social, cultural, económica y productiva entre los Estados, yfacilita el contacto y la cooperación transfronteriza entre pueblos indígenas."
015-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,15,1,"1. Los derechos y las obligaciones establecidos en los tratados internacionalesde derechos humanos ratificados y vigentes en Chile, los principios generalesdel derecho internacional de los derechos humanos y el derechointernacional consuetudinario de la misma materia forman parte integral deesta Constitución y gozan de rango constitucional."
015-2,1,Principios y disposiciones generales,1,Principios y disposiciones generales,15,2,"2. El Estado debe prevenir, investigar, sancionar y reparar integralmente lasviolaciones a los derechos humanos."
016-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,16,1,"1. El Estado se funda en el principio de supremacía constitucional y en elrespeto a los derechos humanos. Los preceptos de esta Constitución obligana toda persona, grupo, autoridad o institución."
016-2,1,Principios y disposiciones generales,1,Principios y disposiciones generales,16,2,"2. Los órganos del Estado y sus titulares e integrantes actúan previa investiduraregular y someten su actuar a la Constitución y a las normas dictadasconforme a esta, dentro de los límites y competencias por ellas establecidos."
016-3,1,Principios y disposiciones generales,1,Principios y disposiciones generales,16,3,"3. Ninguna magistratura, persona ni grupo de personas, civiles o militares,pueden atribuirse otra autoridad, competencia o derechos que los queexpresamente se les haya conferido en virtud de la Constitución y las leyes,ni aun a pretexto de circunstancias extraordinarias."
016-4,1,Principios y disposiciones generales,1,Principios y disposiciones generales,16,4,4. Todo acto en contravención a este artículo es nulo y originará lasresponsabilidades y sanciones que la ley señale. La acción de nulidad seejercerá en los plazos y condiciones establecidos por esta Constitución y laley
017-1,2,Derechos fundamentales,2,Sobre los derechos,17,1,"1. Los derechos fundamentales son inherentes a la persona humana,universales, inalienables, indivisibles e interdependientes."
017-2,2,Derechos fundamentales,2,Sobre los derechos,17,2,"2. El pleno ejercicio de estos derechos es esencial para la vida digna de laspersonas y los pueblos, la democracia, la paz y el equilibrio de la naturaleza."
018-1,2,Derechos fundamentales,2,Sobre los derechos,18,1,1. Las personas naturales son titulares de derechos fundamentales. Losderechos podrán ser ejercidos y exigidos individual o colectivamente.
018-2,2,Derechos fundamentales,2,Sobre los derechos,18,2,2. Los pueblos y naciones indígenas son titulares de derechos fundamentalescolectivos.
018-3,2,Derechos fundamentales,2,Sobre los derechos,18,3,3. La naturaleza es titular de los derechos reconocidos en esta Constitución quele sean aplicables.
019-1,2,Derechos fundamentales,2,Sobre los derechos,19,1,"1. El Estado debe respetar, promover, proteger y garantizar el pleno ejercicio ysatisfacción de los derechos fundamentales, sin discriminación, así comoadoptar las medidas necesarias para eliminar todos los obstáculos queentorpezcan su realización."
019-2,2,Derechos fundamentales,2,Sobre los derechos,19,2,"2. Para su protección, las personas gozan de garantías eficaces, oportunas,pertinentes y universales."
019-3,2,Derechos fundamentales,2,Sobre los derechos,19,3,"3. Toda persona, institución, asociación o grupo deberá respetar los derechosfundamentales, conforme a la Constitución y la ley."
020-1,2,Derechos fundamentales,2,Sobre los derechos,20,1,"1. El Estado debe adoptar todas las medidas necesarias para lograr de maneraprogresiva la plena satisfacción de los derechos fundamentales. Ninguna deellas podrá tener un carácter regresivo que disminuya, menoscabe o impidainjustificadamente su ejercicio."
020-2,2,Derechos fundamentales,2,Sobre los derechos,20,2,2. El financiamiento de las prestaciones estatales vinculadas al ejercicio de losderechos fundamentales propenderá a la progresividad.
021-1,2,Derechos fundamentales,3,Derechos fundamentales,21,1,"1. Toda persona tiene derecho a la vida y a la integridad personal. Estacomprende la integridad física, psicosocial, sexual y afectiva."
021-2,2,Derechos fundamentales,3,Derechos fundamentales,21,2,"2. Ninguna persona puede ser condenada a muerte o ejecutada, sometida atorturas, ni penas o tratos crueles, inhumanos o degradantes."
022-1,2,Derechos fundamentales,3,Derechos fundamentales,22,3,Ninguna persona será sometida a desaparición forzada. Toda víctima tienederecho a ser buscada y el Estado dispondrá de todos los medios necesariospara ello.
023-1,2,Derechos fundamentales,3,Derechos fundamentales,23,11,"Ninguna persona que resida en Chile y que cumpla los requisitos establecidosen esta Constitución y las leyes podrá ser desterrada, exiliada, relegada nisometida a desplazamiento forzado."
024-1,2,Derechos fundamentales,3,Derechos fundamentales,24,1,"1. Las víctimas y la comunidad tienen derecho al esclarecimiento yconocimiento de la verdad respecto de graves violaciones a los derechoshumanos, especialmente cuando constituyan crímenes de lesa humanidad,crímenes de guerra, genocidio o despojo territorial."
024-2,2,Derechos fundamentales,3,Derechos fundamentales,24,2,"2. La desaparición forzada, la tortura y otras penas o tratos crueles, inhumanoso degradantes, los crímenes de guerra, los crímenes de lesa humanidad, elgenocidio y el crimen de agresión son imprescriptibles e inamnistiables."
024-3,2,Derechos fundamentales,3,Derechos fundamentales,24,3,"3. Son obligaciones del Estado prevenir, investigar, sancionar e impedir laimpunidad. Tales crímenes deben ser investigados de oficio, con la debidadiligencia, seriedad, rapidez, independencia e imparcialidad. La investigaciónde estos hechos no será susceptible de impedimento alguno."
024-4,2,Derechos fundamentales,3,Derechos fundamentales,24,4,4. Las víctimas de violaciones a los derechos humanos tienen derecho a lareparación integral.
024-5,2,Derechos fundamentales,3,Derechos fundamentales,24,5,"5. El Estado garantiza el derecho a la memoria y su relación con las garantías deno repetición y los derechos a la verdad, justicia y reparación integral. Esdeber del Estado preservar la memoria y garantizar el acceso a los archivos ydocumentos, en sus distintos soportes y contenidos. Los sitios de memoriay memoriales son objeto de especial protección y se asegura su preservacióny sostenibilidad."
025-1,2,Derechos fundamentales,3,Derechos fundamentales,25,1,"1. Toda persona tiene derecho a la igualdad, que comprende la igualdadsustantiva, la igualdad ante la ley y la no discriminación. Es deber del Estadoasegurar la igualdad de trato y oportunidades. En Chile no hay persona nigrupo privilegiado. Queda prohibida toda forma de esclavitud."
025-2,2,Derechos fundamentales,3,Derechos fundamentales,25,2,"2. El Estado garantiza a todas las personas la igualdad sustantiva, en tantogarantía del reconocimiento, goce y ejercicio de los derechos fundamentales,con pleno respeto a la diversidad, la inclusión social y la integración."
025-3,2,Derechos fundamentales,3,Derechos fundamentales,25,3,"3. El Estado asegura la igualdad de género para las mujeres, niñas, diversidadesy disidencias sexuales y de género, tanto en el ámbito público como privado."
025-4,2,Derechos fundamentales,3,Derechos fundamentales,25,4,"4. Está prohibida toda forma de discriminación, en especial cuando se funde enuno o más motivos tales como nacionalidad o apatridia, edad, sexo,características sexuales, orientación sexual o afectiva, identidad y expresiónde género, diversidad corporal, religión o creencia, raza, pertenencia a unpueblo y nación indígena o tribal, opiniones políticas o de otra naturaleza,clase social, ruralidad, situación migratoria o de refugio, discapacidad,condición de salud mental o física, estado civil, filiación o condición social, ycualquier otra que tenga por objeto o resultado anular o menoscabar ladignidad humana, el goce y ejercicio de los derechos."
025-5,2,Derechos fundamentales,3,Derechos fundamentales,25,5,"5. El Estado adoptará todas las medidas necesarias, incluidos los ajustesrazonables, para corregir y superar la desventaja o el sometimiento de unapersona o grupo. La ley determinará las medidas de prevención, prohibición,sanción y reparación de toda forma de discriminación, en los ámbitospúblico y privado, así como los mecanismos para garantizar la igualdadsustantiva. El Estado debe tener especialmente en consideración los casosen que confluyan, respecto de una persona, más de una categoría, condicióno motivo."
026-1,2,Derechos fundamentales,3,Derechos fundamentales,26,1,"1. Niñas, niños y adolescentes son titulares de los derechos establecidos enesta Constitución y en los tratados internacionales de derechos humanosratificados y vigentes en Chile."
026-2,2,Derechos fundamentales,3,Derechos fundamentales,26,2,"2. El Estado tiene el deber prioritario de promover, respetar y garantizar losderechos de niñas, niños y adolescentes, resguardando su interés superior,su autonomía progresiva, su desarrollo integral y su derecho a ser escuchadosy a participar e influir en todos los asuntos que les afecten, en el grado quecorresponda a su nivel de desarrollo en la vida familiar, comunitaria y social."
026-3,2,Derechos fundamentales,3,Derechos fundamentales,26,3,"3. Niñas, niños y adolescentes tienen derecho a vivir en condiciones familiaresy ambientales que permitan el pleno y armonioso desarrollo de supersonalidad. El Estado debe velar por que no sean separados de sus familiassalvo como medida temporal y último recurso en resguardo de su interéssuperior, caso en el cual se priorizará un acogimiento familiar por sobre elresidencial, debiendo adoptar las medidas que sean necesarias para asegurarsu bienestar y resguardar el ejercicio de sus derechos."
026-4,2,Derechos fundamentales,3,Derechos fundamentales,26,4,"4. Asimismo, tienen derecho a la protección contra toda forma de violencia,maltrato, abuso, explotación, acoso y negligencia. La erradicación de laviolencia contra la niñez es de la más alta prioridad para el Estado y para ellodiseñará estrategias y acciones para abordar situaciones que impliquen unmenoscabo de su integridad personal, sea que la violencia provenga de lasfamilias, del Estado o de terceros."
026-5,2,Derechos fundamentales,3,Derechos fundamentales,26,5,"5. La ley establecerá un sistema de protección integral de garantías de losderechos de niñas, niños y adolescentes, a través del cual estableceráresponsabilidades específicas de los poderes y órganos del Estado, su deberde trabajo intersectorial y coordinado para asegurar la prevención de laviolencia en su contra y la promoción y protección efectiva de sus derechos.El Estado asegurará por medio de este sistema que, ante amenaza ovulneración de derechos, existan mecanismos para su restitución, sanción yreparación."
027-1,2,Derechos fundamentales,3,Derechos fundamentales,27,1,"1. Todas las mujeres, las niñas, las adolescentes y las personas de lasdiversidades y disidencias sexuales y de género tienen derecho a una vidalibre de violencia de género en todas sus manifestaciones, tanto en el ámbitopúblico como en el privado, sea que provenga de particulares, institucioneso agentes del Estado."
027-2,2,Derechos fundamentales,3,Derechos fundamentales,27,2,"2. El Estado deberá adoptar las medidas necesarias para erradicar todo tipo deviolencia de género y los patrones socioculturales que la posibilitan,actuando con la debida diligencia para prevenirla, investigarla y sancionarla,así como brindar atención, protección y reparación integral a las víctimas,considerando especialmente las situaciones de vulnerabilidad en que puedanhallarse."
028-1,2,Derechos fundamentales,3,Derechos fundamentales,28,1,1. Las personas con discapacidad son titulares de los derechos establecidos enesta Constitución y en los tratados internacionales de derechos humanosratificados y vigentes en Chile.
028-2,2,Derechos fundamentales,3,Derechos fundamentales,28,2,"2. Toda persona con discapacidad tiene derecho al goce y ejercicio de sucapacidad jurídica, con apoyos y salvaguardias, según corresponda; a laaccesibilidad universal; a la inclusión social; a la inserción laboral, y a laparticipación política, económica, social y cultural."
028-3,2,Derechos fundamentales,3,Derechos fundamentales,28,3,"3. La ley establecerá un sistema nacional a través del cual se elaborarán,coordinarán y ejecutarán políticas y programas destinados a atender susnecesidades de trabajo, educación, vivienda, salud y cuidado. La leygarantizará que la elaboración, ejecución y supervisión de dichas políticas yprogramas cuenten con la participación activa y vinculante de las personascon discapacidad y de las organizaciones que las representan."
028-4,2,Derechos fundamentales,3,Derechos fundamentales,28,4,"4. La ley determinará los medios necesarios para identificar y remover lasbarreras físicas, sociales, culturales, actitudinales, de comunicación y de otraíndole para facilitar a las personas con discapacidad el ejercicio de susderechos."
028-5,2,Derechos fundamentales,3,Derechos fundamentales,28,5,"5. El Estado garantiza los derechos lingüísticos e identidades culturales de laspersonas con discapacidad, los que incluyen el derecho a expresarse ycomunicarse a través de sus lenguas y el acceso a mecanismos, medios yformas alternativas de comunicación. Asimismo, garantiza la autonomíalingüística de las personas sordas en todos los ámbitos de la vida."
029-1,2,Derechos fundamentales,3,Derechos fundamentales,29,4,"El Estado reconoce la neurodiversidad y garantiza a las personasneurodivergentes su derecho a una vida autónoma, a desarrollar librementesu personalidad e identidad, a ejercer su capacidad jurídica y los derechosreconocidos en esta Constitución y los tratados e instrumentosinternacionales de derechos humanos ratificados y vigentes en Chile."
030-1,2,Derechos fundamentales,3,Derechos fundamentales,30,1,1. Toda persona sometida a cualquier forma de privación de libertad no puedesufrir limitaciones de otros derechos que aquellos estrictamente necesariospara la ejecución de la pena.
030-2,2,Derechos fundamentales,3,Derechos fundamentales,30,2,2. El Estado debe asegurar un trato digno con pleno respeto a sus derechoshumanos y los de sus visitas.
030-3,2,Derechos fundamentales,3,Derechos fundamentales,30,3,"3. Las mujeres y personas gestantes tienen derecho, antes, durante y despuésdel parto, a acceder a los servicios de salud que requieran, a la lactancia y alvínculo directo y permanente con su hija o hijo, teniendo en consideración elinterés superior de niñas, niños y adolescentes."
030-4,2,Derechos fundamentales,3,Derechos fundamentales,30,4,"4. Ninguna persona privada de libertad podrá ser sometida a tortura ni a otrostratos crueles, inhumanos o degradantes, ni a trabajos forzosos. Asimismo,no podrá ser sometida a aislamiento o incomunicación como sancióndisciplinaria."
031-1,2,Derechos fundamentales,3,Derechos fundamentales,31,1,1. Las personas privadas de libertad tienen derecho a hacer peticiones a laautoridad penitenciaria y al tribunal de ejecución de la pena para el resguardode sus derechos y a recibir una respuesta oportuna.
031-2,2,Derechos fundamentales,3,Derechos fundamentales,31,2,"2. Asimismo, tienen derecho a mantener la comunicación y el contactopersonal, directo y periódico con sus redes de apoyo y siempre con laspersonas encargadas de su asesoría jurídica."
032-1,2,Derechos fundamentales,3,Derechos fundamentales,32,1,1. Toda persona privada de libertad tiene derecho a la inserción e integraciónsocial. Es deber del Estado garantizar un sistema penitenciario orientado aeste fin.
032-2,2,Derechos fundamentales,3,Derechos fundamentales,32,2,"2. El Estado creará organismos que, con personal civil y técnico, garanticen lainserción e integración penitenciaria y pospenitenciaria de las personasprivadas de libertad. La seguridad y administración de estos recintos estaránreguladas por ley."
033-1,2,Derechos fundamentales,3,Derechos fundamentales,33,1,1. Las personas mayores son titulares de los derechos establecidos en estaConstitución y en los tratados internacionales de derechos humanosratificados y vigentes en Chile.
033-2,2,Derechos fundamentales,3,Derechos fundamentales,33,2,"2. Asimismo, tienen derecho a envejecer con dignidad; a obtener prestacionesde seguridad social suficientes para una vida digna; a la accesibilidad alentorno físico, social, económico, cultural y digital; a la participación políticay social; a una vida libre de maltrato por motivos de edad; a la autonomía eindependencia y al pleno ejercicio de su capacidad jurídica con los apoyos ysalvaguardias que correspondan."
034-1,2,Derechos fundamentales,3,Derechos fundamentales,34,8,"Los pueblos y naciones indígenas y sus integrantes, en virtud de su libredeterminación, tienen derecho al pleno ejercicio de sus derechos colectivose individuales. En especial, tienen derecho a la autonomía; al autogobierno; asu propia cultura; a la identidad y cosmovisión; al patrimonio; a la lengua; alreconocimiento y protección de sus tierras, territorios y recursos, en sudimensión material e inmaterial y al especial vinculo que mantienen conestos; a la cooperación e integración; al reconocimiento de sus instituciones,jurisdicciones y autoridades, propias o tradicionales; y a participarplenamente, si así́ lo desean, en la vida política, económica, social y culturaldel Estado."
035-1,2,Derechos fundamentales,3,Derechos fundamentales,35,1,1. Toda persona tiene derecho a la educación. La educación es un deber primordial e ineludible del Estado.
035-2,2,Derechos fundamentales,3,Derechos fundamentales,35,2,"2. La educación es un proceso de formación y aprendizaje permanente a lo largo de la vida, indispensable para el ejercicio de los demás derechos y para la actividad científica, tecnológica, económica y cultural del país."
035-3,2,Derechos fundamentales,3,Derechos fundamentales,35,3,"3. Sus fines son la construcción del bien común, la justicia social, el respeto de los derechos humanos y de la naturaleza, la conciencia ecológica, la convivencia democrática entre los pueblos, la prevención de la violencia y discriminación, así como la adquisición de conocimientos, el pensamiento crítico, la capacidad creadora y el desarrollo integral de las personas, considerando sus dimensiones cognitiva, física, social y emocional."
035-4,2,Derechos fundamentales,3,Derechos fundamentales,35,4,"4. La educación se rige por los principios de cooperación, no discriminación, inclusión, justicia, participación, solidaridad, interculturalidad, enfoque de género, pluralismo y los demás principios consagrados en esta Constitución. Tiene un carácter no sexista y se desarrolla de forma contextualizada, considerando la pertinencia territorial, cultural y lingüística."
035-5,2,Derechos fundamentales,3,Derechos fundamentales,35,5,"5. La educación se orienta hacia la calidad, entendida como el cumplimiento de sus fines y principios."
035-6,2,Derechos fundamentales,3,Derechos fundamentales,35,6,"6. La ley establecerá la forma en que estos fines y principios deberán materializarse, en condiciones de equidad, en las instituciones educativas y en los procesos de enseñanza."
035-7,2,Derechos fundamentales,3,Derechos fundamentales,35,7,7. La educación es de acceso universal en todos sus niveles y obligatoria desde el nivel básico hasta la educación media inclusive.
036-1,2,Derechos fundamentales,3,Derechos fundamentales,36,1,"1. El Sistema Nacional de Educación está integrado por los establecimientos ylas instituciones de educación parvularia, básica, media y superior, creadas oreconocidas por el Estado. Se articula bajo el principio de colaboración ytiene como centro la experiencia de aprendizaje de las y los estudiantes."
036-2,2,Derechos fundamentales,3,Derechos fundamentales,36,2,"2. El Estado ejerce labores de coordinación, regulación, mejoramiento ysupervigilancia del Sistema. La ley determinará los requisitos para elreconocimiento oficial de estos establecimientos e instituciones."
036-3,2,Derechos fundamentales,3,Derechos fundamentales,36,3,"3. Los establecimientos y las instituciones que lo conforman están sujetos alrégimen común que fije la ley, son de carácter democrático, no podrándiscriminar en su acceso, se rigen por los fines y principios de este derechoy tienen prohibida toda forma de lucro."
036-4,2,Derechos fundamentales,3,Derechos fundamentales,36,4,"4. El Sistema Nacional de Educación promueve la diversidad de saberesartísticos, ecológicos, culturales y filosóficos que conviven en el país."
036-5,2,Derechos fundamentales,3,Derechos fundamentales,36,5,"5. La Constitución reconoce la autonomía de los pueblos y naciones indígenaspara desarrollar sus propios establecimientos e instituciones deconformidad con sus costumbres y cultura, respetando los fines y principiosde la educación, y dentro de los marcos del Sistema Nacional de Educaciónestablecidos por la ley."
036-6,2,Derechos fundamentales,3,Derechos fundamentales,36,6,6. El Estado brindará oportunidades y apoyos adicionales a personas condiscapacidad y en riesgo de exclusión.
036-7,2,Derechos fundamentales,3,Derechos fundamentales,36,7,"7. La educación pública constituye el eje estratégico del Sistema Nacional deEducación; su ampliación y fortalecimiento es un deber primordial delEstado, para lo cual articulará, gestionará y financiará un Sistema deEducación Pública de carácter laico y gratuito, compuesto porestablecimientos e instituciones estatales de todos los niveles ymodalidades educativas."
036-8,2,Derechos fundamentales,3,Derechos fundamentales,36,8,"8. El Estado debe financiar este Sistema de forma permanente, directa,pertinente y suficiente a través de aportes basales, a fin de cumplir plena yequitativamente con los fines y principios de la educación."
037-1,2,Derechos fundamentales,3,Derechos fundamentales,37,1,"1. El Sistema de Educación Superior estará conformado por las universidades,los institutos profesionales, los centros de formación técnica, las academiascreadas o reconocidas por el Estado y las escuelas de formación de laspolicías y las Fuerzas Armadas. Estas instituciones considerarán lasnecesidades comunales, regionales y nacionales. Tienen prohibida todaforma de lucro."
037-2,2,Derechos fundamentales,3,Derechos fundamentales,37,2,"2. Las instituciones de educación superior tienen la misión de enseñar, produciry socializar el conocimiento. La Constitución protege la libertad de cátedra,la investigación y la libre discusión de las ideas de las académicas y losacadémicos de las universidades creadas o reconocidas por el Estado."
037-3,2,Derechos fundamentales,3,Derechos fundamentales,37,3,"3. Las instituciones de educación superior del Estado forman parte del Sistemade Educación Pública y su financiamiento se sujetará a lo dispuesto por estaConstitución, debiendo garantizar el cumplimiento íntegro de sus funcionesde docencia, investigación y colaboración con la sociedad."
037-4,2,Derechos fundamentales,3,Derechos fundamentales,37,4,"4. En cada región existirá, al menos, una universidad estatal y una institución deformación técnico profesional de nivel superior estatal. Estas se relacionaránde manera coordinada y preferente con las entidades territoriales y serviciospúblicos con presencia regional, de acuerdo con las necesidades locales."
037-5,2,Derechos fundamentales,3,Derechos fundamentales,37,5,"5. El Estado velará por el acceso a la educación superior de todas las personasque cumplan los requisitos establecidos por la ley. El ingreso, permanencia ypromoción de quienes estudien en la educación superior se regirá por losprincipios de equidad e inclusión, con particular atención a los gruposhistóricamente excluidos y de especial protección, prohibiéndose cualquiertipo de discriminación."
037-6,2,Derechos fundamentales,3,Derechos fundamentales,37,6,6. Los estudios de educación superior conducentes a títulos y gradosacadémicos iniciales serán gratuitos en las instituciones públicas y enaquellas privadas que determine la ley.
038-1,2,Derechos fundamentales,3,Derechos fundamentales,38,8,"Es deber del Estado promover el derecho a la educación permanente a travésde oportunidades formativas múltiples, dentro y fuera del Sistema Nacionalde Educación, fomentando diversos espacios de desarrollo y aprendizajeintegral para todas las personas."
039-1,2,Derechos fundamentales,3,Derechos fundamentales,39,2,"El Estado garantiza una educación ambiental que fortalezca la preservación,la conservación y los cuidados requeridos respecto al medioambiente y lanaturaleza, y que permita formar conciencia ecológica."
040-1,2,Derechos fundamentales,3,Derechos fundamentales,40,5,"Toda persona tiene derecho a recibir una educación sexual integral, quepromueva el disfrute pleno y libre de la sexualidad; la responsabilidadsexoafectiva; la autonomía, el autocuidado y el consentimiento; elreconocimiento de las diversas identidades y expresiones del género y lasexualidad; que erradique los estereotipos de género, y que prevenga laviolencia de género y sexual."
041-1,2,Derechos fundamentales,3,Derechos fundamentales,41,1,1. Se garantiza la libertad de enseñanza y es deber del Estado respetarla.
041-2,2,Derechos fundamentales,3,Derechos fundamentales,41,2,"2. Esta comprende la libertad de madres, padres, apoderadas, apoderados ytutores legales a elegir el tipo de educación de las personas a su cargo,respetando el interés superior y la autonomía progresiva de niñas, niños yadolescentes."
041-3,2,Derechos fundamentales,3,Derechos fundamentales,41,3,"3. Las y los profesores y educadores son titulares de la libertad de cátedra en elejercicio de sus funciones, en el marco de los fines y principios de laeducación."
